variable,alias
apoyo_vacunas_dosis_1-12,h16041d-12
apoyo_vacunas_dosis_1-13,h16041d-13
apoyo_vacunas_dosis_1-14,h16041d-14
apoyo_vacunas_dosis_1-15,h16041d-15
apoyo_vacunas_dosis_1-16,h16041d-16
apoyo_vacunas_dosis_1-17,h16041d-17
apoyo_vacunas_dosis_1-18,h16041d-18
apoyo_vacunas_dosis_1-19,h16041d-19
apoyo_vacunas_dosis_1-20,h16041d-20
apoyo_vacunas_dosis_1-21,h16041d-21
apoyo_vacunas_dosis_1-22,h16041d-22
apoyo_vacunas_dosis_1-23,h16041d-23
apoyo_vacunas_dosis_1-24,h16041d-24
apoyo_vacunas_dosis_1-25,h16041d-25
apoyo_vacunas_dosis_1-26,h16041d-26
apoyo_vacunas_dosis_1-27,h16041d-27
apoyo_vacunas_dosis_1-28,h16041d-28
apoyo_vacunas_dosis_1-29,h16041d-29
apoyo_vacunas_dosis_1-30,h16041d-30
apoyo_vacunas_dosis_1-31,h16041d-31
apoyo_vacunas_dosis_1-99,h16041d-No recuerda
asiste_escuela-1,h0313-Sí
asiste_escuela-2,h0313-No
asisten_gripe_escuela-1,h1103h-Sí
asisten_gripe_escuela-2,h1103h-No
asisten_gripe_escuela-3,h1103h-No Sabe
asistio_lugares_concurridos_1-1,h1007a-Por trabajo
asistio_lugares_concurridos_1-2,h1007a-Comprar insumos indispensables para el hogar
asistio_lugares_concurridos_1-3,h1007a-Necesidad en salud
asistio_lugares_concurridos_1-4,h1007a-No creo estar en riesgo
asistio_lugares_concurridos_1-5,h1007a-Necesidad de contacto humano
asistio_lugares_concurridos_1-6,h1007a-No creo que funcione esta medida
asistio_lugares_concurridos_1-7,h1007a-No me interesa cumplir con esa medida
asistio_lugares_concurridos_1-8,h1007a-Por hacer ejercicio en lugares cerrados (como gimnasios)
asistio_lugares_concurridos_1-9,h1007a-Otro especificar
asistio_lugares_concurridos_2-1,h1007b-Por trabajo
asistio_lugares_concurridos_2-2,h1007b-Comprar insumos indispensables para el hogar
asistio_lugares_concurridos_2-3,h1007b-Necesidad en salud
asistio_lugares_concurridos_2-4,h1007b-No creo estar en riesgo
asistio_lugares_concurridos_2-5,h1007b-Necesidad de contacto humano
asistio_lugares_concurridos_2-6,h1007b-No creo que funcione esta medida
asistio_lugares_concurridos_2-7,h1007b-No me interesa cumplir con esa medida
asistio_lugares_concurridos_2-8,h1007b-Por hacer ejercicio en lugares cerrados (como gimnasios)
asistio_lugares_concurridos_2-9,h1007b-Otro especificar
atencion_salud_requirio_1-1,h0409a-ir a consulta externa?
atencion_salud_requirio_1-2,h0409a-hospitalización (internamiento)?
atencion_salud_requirio_1-3,h0409a-ir a consulta de urgencias? (ser atendido en una área de urg
atencion_salud_requirio_1-4,"h0409a-Otros (vía remota, domicilio, etc.)"
atencion_ultimo_parto-1,a0816-Instituto Mexicano del Seguro Social (IMSS).
atencion_ultimo_parto-2,a0816-ISSSTE/ISSSTE Estatal.
atencion_ultimo_parto-3,a0816-PEMEX.
atencion_ultimo_parto-4,a0816-Defensa.
atencion_ultimo_parto-5,a0816-Marina.
atencion_ultimo_parto-6,a0816-Centro de Salud u Hospital de la SSA.
atencion_ultimo_parto-7,a0816-IMSS Bienestar (antes Oportunidades).
atencion_ultimo_parto-8,"a0816-DIF federal, estatal o municipal."
atencion_ultimo_parto-9,a0816-Cruz Roja/Cruz Verde.
atencion_ultimo_parto-10,a0816-Instituto Nacional de Salud.
atencion_ultimo_parto-11,a0816-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar
atencion_ultimo_parto-12,a0816-Consultorios pertenecientes a farmacias/Farmacias con consul
atencion_ultimo_parto-13,a0816-Consultorio dentro de hospital privado.
atencion_ultimo_parto-14,a0816-Área de urgencias/hospitalización dentro de hospital privado
atencion_ultimo_parto-15,a0816-Atención privada en torre de consultorios médicos o en una c
atencion_ultimo_parto-16,a0816-Consultorio en domicilio particular de médico privado.
atencion_ultimo_parto-17,a0816-Atención privada en mi domicilio.
atencion_ultimo_parto-18,"a0816-Atención privada vía remota (teléfono, mensajes de texto, te"
atencion_ultimo_parto-19,a0816-Médico laboral (médico de la empresa).
atencion_ultimo_parto-20,"a0816-Curandero, hierbero, naturista."
